workload,workload_type,experiment,cpu_type,rob,issue_width,ipc,cpi,branch_count,branch_mispredict,branch_mispredict_rate,l1d_miss_rate,squashing_cycles,cost,stats_path
compute1,compute,issue_2,O3CPU,128,2,0.102599,9.746695,540180.0,3087.0,0.005714761746084638,0.38463,3125.0,160,results/compute1/issue_2/stats.txt
compute1,compute,issue_4,O3CPU,128,4,0.102423,9.763409,537291.0,3214.0,0.005981860853801757,0.370641,3278.0,192,results/compute1/issue_4/stats.txt
compute1,compute,issue_6,O3CPU,128,6,0.102405,9.765154,536264.0,3232.0,0.006026882281861173,0.375911,3345.0,224,results/compute1/issue_6/stats.txt
compute1,compute,issue_8,O3CPU,128,8,0.102405,9.765154,536194.0,3232.0,0.0060276690899189475,0.375898,3345.0,256,results/compute1/issue_8/stats.txt
compute2,compute,issue_2,O3CPU,128,2,0.798218,1.252791,2082946.0,13486.0,0.0064744837360162,0.33047,13327.0,160,results/compute2/issue_2/stats.txt
compute2,compute,issue_4,O3CPU,128,4,1.27839,0.782234,2075061.0,13608.0,0.0065578795033013485,0.331591,13480.0,192,results/compute2/issue_4/stats.txt
compute2,compute,issue_6,O3CPU,128,6,1.566212,0.638483,2066940.0,13630.0,0.0065942891424037465,0.331756,13500.0,224,results/compute2/issue_6/stats.txt
compute2,compute,issue_8,O3CPU,128,8,1.566275,0.638457,2066866.0,13629.0,0.006594041413424963,0.331735,13500.0,256,results/compute2/issue_8/stats.txt
memory1,memory,issue_2,O3CPU,128,2,0.537533,1.860353,1745752.0,9521.0,0.0054538101631846905,0.033344,9421.0,160,results/memory1/issue_2/stats.txt
memory1,memory,issue_4,O3CPU,128,4,0.550846,1.815389,1742859.0,9650.0,0.005536879345948238,0.033385,9575.0,192,results/memory1/issue_4/stats.txt
memory1,memory,issue_6,O3CPU,128,6,0.551127,1.814464,1741821.0,9669.0,0.005551087051999029,0.033391,9590.0,224,results/memory1/issue_6/stats.txt
memory1,memory,issue_8,O3CPU,128,8,0.551127,1.814464,1741790.0,9671.0,0.005552334093088145,0.033392,9594.0,256,results/memory1/issue_8/stats.txt
memory2,memory,issue_2,O3CPU,128,2,0.93821,1.06586,922783.0,3087.0,0.003345315204116244,0.02548,3095.0,160,results/memory2/issue_2/stats.txt
memory2,memory,issue_4,O3CPU,128,4,1.345175,0.743398,920901.0,3213.0,0.0034889743848687317,0.038113,3252.0,192,results/memory2/issue_4/stats.txt
memory2,memory,issue_6,O3CPU,128,6,1.347455,0.74214,919827.0,3233.0,0.0035147913683768795,0.038842,3270.0,224,results/memory2/issue_6/stats.txt
memory2,memory,issue_8,O3CPU,128,8,1.339619,0.746481,919809.0,3239.0,0.0035213832436951586,0.038855,3276.0,256,results/memory2/issue_8/stats.txt
branch1,branch,issue_2,O3CPU,128,2,0.72746,1.374646,16975662.0,67579.0,0.003980934587411083,0.00012,67398.0,160,results/branch1/issue_2/stats.txt
branch1,branch,issue_4,O3CPU,128,4,0.760464,1.314986,16972699.0,67706.0,0.003989112161831185,0.000125,67554.0,192,results/branch1/issue_4/stats.txt
branch1,branch,issue_6,O3CPU,128,6,0.760236,1.315381,16971649.0,67728.0,0.003990655239216884,0.000126,67571.0,224,results/branch1/issue_6/stats.txt
branch1,branch,issue_8,O3CPU,128,8,0.760237,1.315379,16971601.0,67730.0,0.003990784369724459,0.000126,67574.0,256,results/branch1/issue_8/stats.txt
